1108060;1108;DARUSSALAM;55945451;954201377
1108061;1108;BAITUSSALAM;56053001;9538872
1108070;1108;KUTA BARO;55474232;954253757
1108080;1108;MONTASIK;5465831;954227312
1108081;1108;BLANG BINTANG;55056119;954253757
1108090;1108;INGIN JAYA;55113567;953677844
1108091;1108;KRUENG BARONA JAYA;55505849;953651679
1108100;1108;SUKA MAKMUR;5401771;953625516
1108101;1108;KUTA MALAKA;54276233;9538872
1108102;1108;SIMPANG TIGA;54488701;953468563
1108110;1108;DARUL IMARAH;55013734;953154784
1108111;1108;DARUL KAMAL;54647637;953207069
1108120;1108;PEUKAN BADA;55333804;9524233
1108130;1108;PULO ACEH;56970368;950911062
1109010;1109;GEUMPANG;48238623;96195132
1109011;1109;MANE;48867326;960891032
1109070;1109;GLUMPANG TIGA;52082329;960361574
1109071;1109;GLUMPANG BARO;52758281;960308654
1109080;1109;MUTIARA;52867372;959779702
1109081;1109;MUTIARA TIMUR;5255443;959885456
1109090;1109;TIRO/TRUSEB;51777852;959621106
1109100;1109;TANGSE;49914298;95940971
1109111;1109;KEUMALA;52306075;958670405
1109112;1109;TITEUE;52094331;959092754
1109120;1109;SAKTI;52560466;959251211
1109130;1109;MILA;52876435;958828751
1109140;1109;PADANG TIJI;53453369;958353837
1109150;1109;DELIMA;53394768;959039944
1109151;1109;GRONG GRONG;53707194;959039944
1109160;1109;INDRAJAYA;53183545;959356872
1109170;1109;PEUKAN BARO;53284568;959673967
1109180;1109;KEMBANG TANJONG;531218;960361574
1109190;1109;SIMPANG TIGA;53386609;959885456
1109200;1109;KOTA SIGLI;53847763;959602371
1109210;1109;PIDIE;53704132;959356872
1109220;1109;BATEE;5417769;958881542
1109230;1109;MUARA TIGA;55126065;957932008
1110010;1110;SAMALANGA;50804889;96375799
1110011;1110;SIMPANG MAMPLAM;51007814;96418385
1110020;1110;PANDRAH;50591509;964396888
1110030;1110;JEUNIEB;50794303;96482318
1110031;1110;PEULIMBANG;50378188;965036433
1110040;1110;PEUDADA;50476301;965569882
1110050;1110;JULI;50463259;966851982
1110060;1110;JEUMPA;51605583;966531216
1110061;1110;KOTA JUANG;52065989;967119409
1110062;1110;KUALA;52272338;96722641
1110070;1110;JANGKA;5242166;967815237
1110080;1110;PEUSANGAN;52008992;967601057
1110081;1110;PEUSANGAN SELATAN;50558954;967601057
1110082;1110;PEUSANGAN SIBLAH KRUENG;50761383;968029489
1110090;1110;MAKMUR;51377969;968458204
1110100;1110;GANDA PURA;52202497;968887202
1110101;1110;KUTA BLANG;52053351;968297403
1111010;1111;SAWANG;50440905;968994495
1111020;1111;NISAM;51773651;970175879
1111021;1111;NISAM ANTARA;50331824;969531225
1111022;1111;BANDA BARO;5193444;96969233
1111030;1111;KUTA MAKMUR;50943003;970390904
1111031;1111;SIMPANG KERAMAT;50317949;970821162
1111040;1111;SYAMTALIRA BAYU;50771854;97184414
1111041;1111;GEUREUDONG PASE;49498759;970175879
1111050;1111;MEURAH MULIA;50717161;972113605
1111060;1111;MATANGKULI;50348857;972706807
1111061;1111;PAYA BAKONG;49165104;972437105
1111062;1111;PIRAK TIMU;49883603;97276076
1111070;1111;COT GIREK;48331764;97330053
1111080;1111;TANAH JAMBO AYE;50896946;974489531
1111081;1111;LANGKAHAN;48729315;974597725
1111090;1111;SEUNUDDON;51934088;974273195
1111100;1111;BAKTIYA;50901929;974056928
1111101;1111;BAKTIYA BARAT;51323054;973408535
1111110;1111;LHOKSUKON;50388975;973732655
1111120;1111;TANAH LUAS;4969134;971467072
1111121;1111;NIBONG;50328724;972194466
1111130;1111;SAMUDERA;51284218;972275336
1111140;1111;SYAMTALIRA ARON;51073646;972598913
1111150;1111;TANAH PASIR;51384041;972598913
1111151;1111;LAPANG;5148385;972922646
1111160;1111;MUARA BATU;5245533;969477532
1111170;1111;DEWANTARA;52395677;970175879
1112010;1112;MANGGENG;36206532;969155468
1112011;1112;LEMBAH SABIL;36248985;970175879
1112020;1112;TANGAN-TANGAN;36959787;969423844
1112021;1112;SETIA;37015625;968726295
1112030;1112;BLANG PIDIE;37431465;968326488
1112031;1112;JEUMPA;37625894;968083063
1112040;1112;SUSOH;37220621;968297403
1112050;1112;KUALA BATEE;39395046;968136642
1112060;1112;BABAH ROT;3933333;967
1113010;1113;KUTA PANJANG;38149378;972005806
1113011;1113;BLANG JERANGO;39771224;971574784
1113020;1113;BLANGKEJEREN;39967196;973416152
1113021;1113;PUTRI BETUNG;37520288;974814163
1113022;1113;DABUN GELANG;39335745;975030669
